n_task	metric	correlation
8	variance	0.739676483215327
8	variance_mc	0.7056835720019824
8	log_det_mc	0.739300290451791
8	inverse_trace_mc	0.7580238476654987
8	random	0.6047487398214063
8	variance	0.7012722376855102
8	variance_mc	0.7392502858320269
8	log_det_mc	0.7242215630718559
8	inverse_trace_mc	0.7555016111163121
8	random	0.5871682087117709
8	variance	0.6474493880775659
8	variance_mc	0.6572124391904017
8	log_det_mc	0.6776087208243617
8	inverse_trace_mc	0.6213897951393528
8	random	0.5326707046304072
8	variance	0.6844694258282413
8	variance_mc	0.690648753691004
8	log_det_mc	0.7528937931237178
8	inverse_trace_mc	0.7165080227474803
8	random	0.6210021733684719
8	variance	0.7378480457103711
8	variance_mc	0.712945063494992
8	log_det_mc	0.7424608762398446
8	inverse_trace_mc	0.7580710337439732
8	random	0.5933954067796633
8	variance	0.7248135339943101
8	variance_mc	0.6990736248527187
8	log_det_mc	0.7266075540752586
8	inverse_trace_mc	0.7251979165327374
